FECHA;PRECIO DÓLAR;KO;VALOR INV;VALOR COP;GAN/PER
16/12/2024; $ 4.341,32 ; $ 63,73 ; $ 6,94 ; $ 30.127,25 ;-$ 0,00 
17/12/2024; $ 4.316,46 ; $ 63,40 ; $ 6,90 ; $ 29.801,96 ;-$ 0,04 
18/12/2024; $ 4.321,25 ; $ 62,85 ; $ 6,84 ; $ 29.576,21 ;-$ 0,10 
19/12/2024; $ 4.385,17 ; $ 62,45 ; $ 6,80 ; $ 29.822,69 ;-$ 0,14 
20/12/2024; $ 4.370,30 ; $ 62,55 ; $ 6,81 ; $ 29.769,15 ;-$ 0,13 
23/12/2024; $ 4.373,33 ; $ 62,38 ; $ 6,79 ; $ 29.708,83 ;-$ 0,15 
24/12/2024; $ 4.383,89 ; $ 62,84 ; $ 6,84 ; $ 30.000,17 ;-$ 0,10 
26/12/2024; $ 4.408,54 ; $ 62,57 ; $ 6,81 ; $ 30.039,23 ;-$ 0,13 
27/12/2024; $ 4.397,89 ; $ 62,45 ; $ 6,80 ; $ 29.909,19 ;-$ 0,14 
30/12/2024; $ 4.388,83 ; $ 62,03 ; $ 6,76 ; $ 29.646,84 ;-$ 0,18 
31/12/2024; $ 4.425,84 ; $ 62,26 ; $ 6,78 ; $ 30.007,70 ;-$ 0,16 
2/01/2025; $ 4.409,15 ; $ 61,84 ; $ 6,73 ; $ 29.692,87 ;-$ 0,21 
3/01/2025; $ 4.415,60 ; $ 61,75 ; $ 6,72 ; $ 29.693,03 ;-$ 0,22 
6/01/2025; $ 4.355,51 ; $ 60,81 ; $ 6,62 ; $ 28.843,10 ;-$ 0,32 
7/01/2025; $ 4.347,49 ; $ 60,84 ; $ 6,63 ; $ 28.804,19 ;-$ 0,31 
8/01/2025; $ 4.392,53 ; $ 61,71 ; $ 6,72 ; $ 29.518,76 ;-$ 0,22 
9/01/2025; $ 4.335,02 ; $ 61,71 ; $ 6,72 ; $ 29.132,28 ;-$ 0,22 
12/01/2025; $ 4.324,81 ; $ 61,07 ; $ 6,65 ; $ 28.762,25 ;-$ 0,29 
13/01/2025; $ 4.346,37 ; $ 61,65 ; $ 6,71 ; $ 29.180,16 ;-$ 0,23 
14/01/2025; $ 4.305,91 ; $ 62,04 ; $ 6,76 ; $ 29.091,40 ;-$ 0,18 
15/01/2025; $ 4.292,20 ; $ 61,77 ; $ 6,73 ; $ 28.872,57 ;-$ 0,21 
16/01/2025; $ 4.295,95 ; $ 62,25 ; $ 6,78 ; $ 29.122,35 ;-$ 0,16 
17/01/2025; $ 4.299,91 ; $ 62,71 ; $ 6,83 ; $ 29.364,60 ;-$ 0,11 
21/01/2025; $ 4.344,27 ; $ 62,42 ; $ 6,80 ; $ 29.530,34 ;-$ 0,14 
22/01/2025; $ 4.307,07 ; $ 61,78 ; $ 6,73 ; $ 28.977,29 ;-$ 0,21 
23/01/2025; $ 4.278,01 ; $ 61,53 ; $ 6,70 ; $ 28.665,31 ;-$ 0,24 
24/01/2025; $ 4.213,02 ; $ 61,92 ; $ 6,74 ; $ 28.408,76 ;-$ 0,20 
27/01/2025; $ 4.218,41 ; $ 63,89 ; $ 6,96 ; $ 29.350,10 ; $ 0,02 
